rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0133.jpg,53.2,0.84,0.8646,0.6923,1.0,16,9,False,True
2,frame_0131.jpg,52.4,0.7933,0.8334,0.6154,0.96,16,8,False,False
3,frame_0233.jpg,93.2,0.7621,0.8281,1.0,0.24,26,13,False,True
4,frame_0300.jpg,120.0,0.75,0.8945,0.7692,0.36,18,10,False,True
5,frame_0082.jpg,32.8,0.7459,0.8383,0.7692,0.48,17,10,False,True
6,frame_0302.jpg,120.8,0.7363,0.8972,0.6923,0.4,17,9,False,False
7,frame_0132.jpg,52.8,0.7338,0.7908,0.4615,1.0,19,6,False,False
8,frame_0128.jpg,51.2,0.7303,0.8014,0.5385,0.84,18,7,False,True
9,frame_0309.jpg,123.6,0.7257,0.8496,0.9231,0.12,24,12,False,True
10,frame_0129.jpg,51.6,0.7223,0.7694,0.5385,0.88,17,7,False,False
11,frame_0118.jpg,47.2,0.7182,0.9374,0.5385,0.44,19,7,False,True
12,frame_0083.jpg,33.2,0.7156,0.8079,0.6923,0.52,17,9,False,False
13,frame_0323.jpg,129.2,0.7156,0.9217,0.7692,0.12,15,10,False,True
14,frame_0103.jpg,41.2,0.7155,0.9516,0.6923,0.16,19,9,False,True
15,frame_0125.jpg,50.0,0.7139,0.863,0.4615,0.72,15,6,False,False
16,frame_0124.jpg,49.6,0.711,0.8731,0.4615,0.68,21,6,False,False
17,frame_0110.jpg,44.0,0.7081,0.9528,0.6923,0.12,19,9,False,True
18,frame_0122.jpg,48.8,0.6976,0.7399,0.6923,0.6,18,9,False,False
19,frame_0232.jpg,92.8,0.6956,0.8497,0.7692,0.2,25,10,False,False
20,frame_0371.jpg,148.4,0.6936,0.8937,0.7692,0.08,23,10,False,True
21,frame_0090.jpg,36.0,0.6897,0.8662,0.6154,0.36,17,8,False,True
22,frame_0067.jpg,26.8,0.6893,0.9613,0.6154,0.12,22,8,False,False
23,frame_0092.jpg,36.8,0.6883,0.8031,0.7692,0.28,22,10,False,False
24,frame_0303.jpg,121.2,0.6846,0.856,0.6154,0.36,17,8,False,False
25,frame_0085.jpg,34.0,0.6798,0.7202,0.6923,0.56,17,9,False,False
26,frame_0381.jpg,152.4,0.6782,0.8327,0.8462,0.04,24,11,False,False
27,frame_0372.jpg,148.8,0.6766,0.8898,0.6923,0.12,28,9,False,False
28,frame_0130.jpg,52.0,0.6742,0.7497,0.3846,0.92,20,5,False,False
29,frame_0109.jpg,43.6,0.6676,0.8878,0.6923,0.08,19,9,False,False
30,frame_0120.jpg,48.0,0.6645,0.798,0.5385,0.52,18,7,False,False
31,frame_0394.jpg,157.6,0.6609,0.9206,0.6154,0.08,23,8,False,False
32,frame_0395.jpg,158.0,0.6524,0.9337,0.5385,0.12,20,7,False,False
33,frame_0080.jpg,32.0,0.6522,0.8213,0.5385,0.4,17,7,False,False
34,frame_0081.jpg,32.4,0.6516,0.8041,0.5385,0.44,18,7,False,False
35,frame_0001.jpg,0.4,0.6494,0.8476,0.5385,0.32,19,7,False,False
36,frame_0180.jpg,72.0,0.648,0.9409,0.5385,0.08,23,7,False,False
37,frame_0322.jpg,128.8,0.6478,0.8322,0.6923,0.12,15,9,False,False
38,frame_0330.jpg,132.0,0.6455,0.952,0.5385,0.04,24,7,False,False
39,frame_0207.jpg,82.8,0.6443,0.8338,0.3846,0.56,12,5,False,False
40,frame_0111.jpg,44.4,0.6432,0.8531,0.6154,0.16,21,8,False,False
41,frame_0188.jpg,75.2,0.6429,0.9467,0.5385,0.04,19,7,False,False
42,frame_0086.jpg,34.4,0.6426,0.8004,0.4615,0.52,14,6,False,False
43,frame_0393.jpg,157.2,0.6422,0.8069,0.7692,0.04,24,10,False,False
44,frame_0370.jpg,148.0,0.6421,0.8529,0.6923,0.04,29,9,False,False
45,frame_0206.jpg,82.4,0.6391,0.747,0.5385,0.52,12,7,False,False
46,frame_0383.jpg,153.2,0.639,0.8607,0.6154,0.12,24,8,False,False
47,frame_0225.jpg,90.0,0.6385,0.8297,0.6923,0.08,22,9,False,False
48,frame_0121.jpg,48.4,0.6343,0.7215,0.5385,0.56,16,7,False,False
49,frame_0123.jpg,49.2,0.6343,0.5973,0.6923,0.64,20,9,False,False
50,frame_0096.jpg,38.4,0.6335,0.8036,0.6923,0.12,16,9,False,False
51,frame_0087.jpg,34.8,0.6334,0.7518,0.5385,0.48,12,7,False,False
52,frame_0301.jpg,120.4,0.6333,0.8297,0.4615,0.4,17,6,False,False
53,frame_0108.jpg,43.2,0.6331,0.9272,0.5385,0.04,20,7,False,False
54,frame_0084.jpg,33.6,0.6318,0.6242,0.6923,0.56,15,9,False,False
55,frame_0310.jpg,124.0,0.631,0.7222,0.8462,0.08,22,11,False,False
56,frame_0385.jpg,154.0,0.6307,0.8602,0.6154,0.08,24,8,False,False
57,frame_0219.jpg,87.6,0.6296,0.8081,0.5385,0.32,17,7,False,False
58,frame_0126.jpg,50.4,0.6295,0.7704,0.3077,0.76,13,4,False,False
59,frame_0382.jpg,152.8,0.6272,0.8071,0.6923,0.08,21,9,False,False
60,frame_0222.jpg,88.8,0.6244,0.7996,0.6154,0.2,17,8,False,False
61,frame_0329.jpg,131.6,0.6244,0.94,0.4615,0.08,21,6,False,False
62,frame_0218.jpg,87.2,0.6243,0.8738,0.3846,0.36,16,5,False,False
63,frame_0275.jpg,110.0,0.6243,0.7532,0.6923,0.2,20,9,False,False
64,frame_0231.jpg,92.4,0.6219,0.8106,0.6154,0.16,22,8,False,False
65,frame_0169.jpg,67.6,0.6207,0.8366,0.4615,0.32,17,6,False,False
66,frame_0127.jpg,50.8,0.6198,0.8274,0.1538,0.8,17,2,False,False
67,frame_0217.jpg,86.8,0.6179,0.845,0.3846,0.4,14,5,False,False
68,frame_0307.jpg,122.8,0.6177,0.8784,0.4615,0.2,21,6,False,False
